Training for lr 0.000702, dropouts 0.970721, beta1 0.963532, beta2 0.936078, weight_decay 0.000032
Training for lr 0.002619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.002619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.002619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.002619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.002619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.002619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.002619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.026619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.026619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.026619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.026619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.026619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.026619, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.047122, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.047122, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.047122, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.047122, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.047122, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.047122, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
New best model acc 0.733000, lr 0.000431, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.036243, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.182048, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.000939, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.206116, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.457537, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000431, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000431, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000431, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000431, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000431, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000431, dropouts 0.000000, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000100, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000100, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000100, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000100, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000100, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000100, dropouts 0.105940, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000100, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000100, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000100, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000100, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000100, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000100, dropouts 0.012146, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000100, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000100, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000100, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000100, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000100, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000100, dropouts 0.251164, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000100, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000100, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
Training for lr 0.000100, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 2.366130
Training for lr 0.000100, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.003346
Training for lr 0.000100, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 1.355523
Training for lr 0.000100, dropouts 0.422604, beta1 0.000000, beta2 0.000000, weight_decay 0.000000
Training for lr 0.000100, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.000012
Training for lr 0.000100, dropouts 0.187359, beta1 0.000000, beta2 0.000000, weight_decay 0.002008
